STATIONS_ID,MESS_DATUM,QN_3,  FX,  FM,QN_4, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK
3668,18790101,-999,-999.0,-999.0,1,1.8,1,-999.0,-999,7.0,8.1,975.8,7.8,75.0,10.9,5.3,-999.0
3668,18790102,-999,-999.0,-999.0,1,1.1,8,-999.0,-999,7.3,7.1,970.1,4.7,77.0,9.0,1.0,-999.0
3668,18790103,-999,-999.0,-999.0,1,8.2,1,-999.0,-999,6.7,6.1,970.2,2.0,87.0,6.7,-3.3,-999.0
3668,18790104,-999,-999.0,-999.0,1,1.3,7,-999.0,-999,8.0,7.1,964.8,3.4,92.0,8.2,0.7,-999.0
3668,18790105,-999,-999.0,-999.0,1,0.7,7,-999.0,-999,8.0,5.3,977.7,-0.3,88.0,1.5,-2.2,-999.0
3668,18790106,-999,-999.0,-999.0,1,0.9,7,-999.0,-999,8.0,5.1,983.4,-0.9,88.0,1.0,-2.3,-999.0
3668,18790107,-999,-999.0,-999.0,1,0.1,7,-999.0,-999,7.7,4.4,978.8,-4.0,94.0,-0.1,-6.5,-999.0
3668,18790108,-999,-999.0,-999.0,1,0.0,0,-999.0,-999,0.7,2.9,969.6,-7.2,80.0,-2.2,-8.5,-999.0
3668,18790109,-999,-999.0,-999.0,1,4.5,7,-999.0,-999,4.3,2.8,970.3,-8.4,82.0,-5.2,-11.4,-999.0
3668,18790110,-999,-999.0,-999.0,1,0.3,7,-999.0,-999,8.0,3.2,964.2,-7.2,92.0,-5.0,-8.6,-999.0
3668,18790111,-999,-999.0,-999.0,1,4.0,8,-999.0,-999,8.0,3.7,965.0,-5.9,91.0,-1.6,-11.2,-999.0
3668,18790112,-999,-999.0,-999.0,1,0.0,0,-999.0,-999,6.3,5.5,976.7,-0.7,88.0,3.7,-3.3,-999.0
3668,18790113,-999,-999.0,-999.0,1,1.1,8,-999.0,-999,7.7,4.3,991.2,-3.3,87.0,-1.0,-5.2,-999.0
3668,18790114,-999,-999.0,-999.0,1,1.0,8,-999.0,-999,8.0,6.0,986.5,0.6,94.0,2.2,-3.3,-999.0
3668,18790115,-999,-999.0,-999.0,1,1.0,8,-999.0,-999,8.0,6.3,976.7,1.0,94.0,3.4,-1.2,-999.0
3668,18790116,-999,-999.0,-999.0,1,0.0,0,-999.0,-999,4.0,6.0,978.0,0.3,92.0,3.9,-2.4,-999.0
3668,18790117,-999,-999.0,-999.0,1,0.0,0,-999.0,-999,8.0,4.4,982.6,-4.1,99.0,-2.0,-6.0,-999.0
3668,18790118,-999,-999.0,-999.0,1,0.1,7,-999.0,-999,6.0,4.7,983.8,-3.0,92.0,0.2,-4.6,-999.0
3668,18790119,-999,-999.0,-999.0,1,0.0,7,-999.0,-999,4.7,4.1,985.6,-3.3,83.0,-0.3,-5.6,-999.0
3668,18790120,-999,-999.0,-999.0,1,0.0,0,-999.0,-999,8.0,3.3,985.7,-5.0,80.0,-4.0,-5.9,-999.0
3668,18790121,-999,-999.0,-999.0,1,2.5,7,-999.0,-999,1.3,2.8,978.4,-8.3,82.0,-2.9,-11.6,-999.0
3668,18790122,-999,-999.0,-999.0,1,0.8,7,-999.0,-999,8.0,3.5,976.5,-6.2,88.0,-2.8,-10.2,-999.0
3668,18790123,-999,-999.0,-999.0,1,2.0,1,-999.0,-999,7.7,4.9,973.5,-0.7,80.0,3.9,-4.8,-999.0
3668,18790124,-999,-999.0,-999.0,1,0.0,0,-999.0,-999,7.7,6.0,974.4,2.7,79.0,6.8,-0.4,-999.0
3668,18790125,-999,-999.0,-999.0,1,0.0,0,-999.0,-999,3.7,6.1,977.6,1.5,87.0,5.0,-0.3,-999.0
3668,18790126,-999,-999.0,-999.0,1,0.1,1,-999.0,-999,8.0,5.9,980.5,0.3,90.0,2.2,-3.7,-999.0
3668,18790127,-999,-999.0,-999.0,1,0.0,0,-999.0,-999,8.0,5.6,986.7,0.4,87.0,1.9,-0.7,-999.0
3668,18790128,-999,-999.0,-999.0,1,0.0,0,-999.0,-999,8.0,4.7,985.1,-1.9,87.0,0.6,-3.0,-999.0
3668,18790129,-999,-999.0,-999.0,1,0.0,0,-999.0,-999,8.0,4.7,985.3,-1.9,87.0,-0.6,-3.2,-999.0
3668,18790130,-999,-999.0,-999.0,1,0.4,1,-999.0,-999,8.0,5.5,984.3,-0.5,90.0,1.5,-2.1,-999.0
3668,18790131,-999,-999.0,-999.0,1,0.4,7,-999.0,-999,8.0,5.6,983.3,-0.6,93.0,1.2,-2.2,-999.0
3668,18790201,-999,-999.0,-999.0,1,0.0,0,-999.0,-999,6.7,4.5,980.1,-1.9,84.0,0.6,-3.0,-999.0
3668,18790202,-999,-999.0,-999.0,1,3.3,1,-999.0,-999,5.3,4.3,978.0,-3.6,87.0,0.0,-9.8,-999.0
3668,18790203,-999,-999.0,-999.0,1,6.5,1,-999.0,-999,7.0,5.5,970.0,-0.3,88.0,3.2,-3.6,-999.0
3668,18790204,-999,-999.0,-999.0,1,4.1,1,-999.0,-999,8.0,8.0,967.6,4.0,95.0,6.8,1.2,-999.0
3668,18790205,-999,-999.0,-999.0,1,0.6,8,-999.0,-999,8.0,6.8,977.1,1.9,95.0,4.1,0.8,-999.0
3668,18790206,-999,-999.0,-999.0,1,0.0,1,-999.0,-999,7.7,6.4,974.6,1.9,88.0,4.6,-0.1,-999.0
3668,18790207,-999,-999.0,-999.0,1,1.6,1,-999.0,-999,5.7,6.7,973.8,4.1,77.0,9.5,1.3,-999.0
3668,18790208,-999,-999.0,-999.0,1,1.1,1,-999.0,-999,6.3,7.5,971.0,5.9,79.0,10.0,2.5,-999.0
3668,18790209,-999,-999.0,-999.0,1,3.4,1,-999.0,-999,8.0,7.9,971.2,6.4,80.0,9.7,3.2,-999.0
3668,18790210,-999,-999.0,-999.0,1,1.1,1,-999.0,-999,8.0,9.5,959.3,8.6,83.0,12.0,5.5,-999.0
3668,18790211,-999,-999.0,-999.0,1,1.8,1,-999.0,-999,8.0,8.5,954.5,5.9,91.0,8.9,4.4,-999.0
3668,18790212,-999,-999.0,-999.0,1,0.7,8,-999.0,-999,8.0,7.7,961.9,5.1,84.0,8.8,3.2,-999.0
3668,18790213,-999,-999.0,-999.0,1,0.0,0,-999.0,-999,8.0,5.9,975.5,1.9,82.0,4.0,0.2,-999.0
3668,18790214,-999,-999.0,-999.0,1,0.2,7,-999.0,-999,7.7,5.2,967.8,1.0,77.0,3.9,-1.0,-999.0
3668,18790215,-999,-999.0,-999.0,1,0.6,1,-999.0,-999,7.7,5.6,963.5,1.8,79.0,3.9,-0.3,-999.0
3668,18790216,-999,-999.0,-999.0,1,0.6,1,-999.0,-999,7.3,6.3,955.9,2.3,84.0,6.2,0.0,-999.0
3668,18790217,-999,-999.0,-999.0,1,0.8,7,-999.0,-999,6.7,6.1,948.9,2.6,80.0,7.0,0.0,-999.0
3668,18790218,-999,-999.0,-999.0,1,4.0,7,-999.0,-999,7.3,5.6,950.5,1.5,81.0,4.7,0.1,-999.0
3668,18790219,-999,-999.0,-999.0,1,2.6,7,-999.0,-999,8.0,5.5,962.2,0.7,84.0,3.3,-1.5,-999.0
3668,18790220,-999,-999.0,-999.0,1,5.4,7,-999.0,-999,7.7,5.5,955.0,1.1,81.0,4.0,-1.9,-999.0
3668,18790221,-999,-999.0,-999.0,1,0.7,7,-999.0,-999,6.3,5.6,953.8,1.0,84.0,3.5,-1.3,-999.0
3668,18790222,-999,-999.0,-999.0,1,11.6,7,-999.0,-999,7.3,5.5,957.0,0.9,83.0,3.1,-0.2,-999.0
3668,18790223,-999,-999.0,-999.0,1,8.8,7,-999.0,-999,8.0,4.9,953.6,-1.6,91.0,0.6,-5.0,-999.0
3668,18790224,-999,-999.0,-999.0,1,2.9,7,-999.0,-999,8.0,4.1,968.2,-3.1,84.0,-0.4,-4.6,-999.0
3668,18790225,-999,-999.0,-999.0,1,5.8,7,-999.0,-999,8.0,4.5,962.1,-2.2,87.0,0.4,-4.6,-999.0
